pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate
-50,x,0,0,0,0,,,,,9.787719435,10.77626057,10.77626057,10.77626057,10.77626057,10.7911905,11.77492021,11.77492021,x,1,0.751638625,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,0,1,1,1,,,,,12.54129855,13.54129032,13.54129032,13.54129032,13.54129032,13.54129032,14.54103482,14.54103482,v,1,0.802941693,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,0,2,2,2,,,,,15.35761265,16.35824894,16.35824894,16.35824894,16.35824894,16.35824894,17.35781418,17.35781418,c,1,1.067686387,18.35830447,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,0,3,3,3,,,,,18.44233356,19.44116375,19.44116375,19.44116375,19.44116375,19.44116375,20.44106828,20.44106828,z,1,0.419914328,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,1,0,4,0,,,,,20.87503069,21.87428802,21.87428802,21.87428802,21.87428802,21.87428802,22.87416289,22.87416289,x,1,0.768616947,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,1,1,5,1,,,,,23.65774642,24.65823558,24.65823558,24.65823558,24.65823558,24.65823558,25.65839995,25.65839995,v,1,1.219464936,26.67414065,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,1,2,6,2,,,,,26.89095669,27.90851901,27.90851901,27.90851901,27.90851901,27.90851901,28.89100433,28.89100433,c,1,0.685874068,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,1,3,7,3,,,,,29.59109162,30.59125598,30.59125598,30.59125598,30.59125598,30.59125598,31.59213591,31.59213591,z,1,0.417544202,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,2,0,8,0,,,,,32.02456575,33.0244838,33.0244838,33.0244838,33.0244838,33.0244838,34.02427792,34.02427792,x,1,0.451310908,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,2,1,9,1,,,,,34.49112918,35.49092892,35.49092892,35.49092892,35.49092892,35.49092892,36.49107089,36.49107089,v,1,0.803140115,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,2,2,10,2,,,,,37.30755492,38.30800816,38.30800816,38.30800816,38.30800816,38.30800816,39.30722717,39.30722717,c,1,0.469797285,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,2,3,11,3,,,,,39.79058758,40.7919765,40.7919765,40.7919765,40.7919765,40.7919765,41.79189223,41.79189223,z,1,0.319011677,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,3,0,12,0,,,,,42.12477712,43.12423352,43.12423352,43.12423352,43.12423352,43.12423352,44.1245204,44.1245204,x,1,0.718119365,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,3,1,13,1,,,,,44.85754191,45.85771666,45.85771666,45.85771666,45.85771666,45.85771666,46.85816732,46.85816732,b,0,0.700807094,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,3,2,14,2,,,,,47.5742935,48.57550614,48.57550614,48.57550614,48.57550614,48.57550614,49.57434035,49.57434035,c,1,1.151694232,50.57451133,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,3,3,15,3,,,,,50.74060047,51.74068533,51.74068533,51.74068533,51.74068533,51.74068533,52.74202237,52.74202237,z,1,0.851692759,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,4,0,16,0,,,,,53.60706614,54.607428,54.607428,54.607428,54.607428,54.607428,55.60716813,55.60716813,x,1,0.68533714,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,4,1,17,1,,,,,56.30736196,57.30857159,57.30857159,57.30857159,57.30857159,57.30857159,58.30733656,58.30733656,v,1,0.603110734,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,4,2,18,2,,,,,58.9237194,59.9246784,59.9246784,59.9246784,59.9246784,59.9246784,60.92465952,60.92465952,c,1,0.451298388,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,4,3,19,3,,,,,61.39063458,62.39065635,62.39065635,62.39065635,62.39065635,62.39065635,63.39135365,63.39135365,z,1,0.767865003,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,5,0,20,0,,,,,64.17388149,65.17434423,65.17434423,65.17434423,65.17434423,65.17434423,66.17384688,66.17384688,x,1,0.535169752,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,5,1,21,1,,,,,66.72398064,67.72400374,67.72400374,67.72400374,67.72400374,67.72400374,68.72558568,68.72558568,v,1,0.433754427,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,5,2,22,2,,,,,69.17397823,70.17445665,70.17445665,70.17445665,70.17445665,70.17445665,71.17369626,71.17369626,c,1,0.285202915,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,5,3,23,3,,,,,71.47390412,72.47383639,72.47383639,72.47383639,72.47383639,72.47383639,73.47560346,73.47560346,z,1,0.216779731,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,6,0,24,0,,,,,73.70720019,74.70716396,74.70716396,74.70716396,74.70716396,74.70716396,75.707456,75.707456,x,1,0.31842372,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
